suite,run_id_safe,bench,gc_flag,rep,wall_s,energy_total_j,energy_pkg_j,energy_dram_j,energy_pp0_j,energy_pp1_j,cpu_pct_avg,rss_mb_avg,throughput_iter_per_s,gc_pause_ms_avg
ant,ant_run_4_7ac6192f,run,-XX:+UseZGC,4,15.41,259.316772,259.316772,0.0,0.0,0.0,,4056.676,0.064893,0.0
ant,ant_run_5_0e20b82a,run,-XX:+UseZGC,5,15.46,260.247803,260.243652,0.0,0.002075,0.002075,,4056.828,0.064683,0.0
ant,ant_run_6_ddb6de02,run,-XX:+UseZGC,6,15.42,260.803406,260.803406,0.0,0.0,0.0,,4057.082,0.064851,0.0
ant,ant_run_7_2fa47858,run,-XX:+UseZGC,7,15.41,262.237122,262.237122,0.0,0.0,0.0,,4056.582,0.064893,0.0
ant,ant_run_8_78b24925,run,-XX:+UseZGC,8,15.43,260.368408,260.345093,0.0,0.011658,0.011658,,4056.68,0.064809,0.0
ant,ant_run_9_20e6e30c,run,-XX:+UseZGC,9,15.43,259.726013,259.726013,0.0,0.0,0.0,,4057.184,0.064809,0.0
ant,ant_run_10_42cb9c01,run,-XX:+UseZGC,10,15.42,260.303162,260.298279,0.0,0.002441,0.002441,,4056.559,0.064851,0.0
jabref,jabref_open_all_x6_1_b9cb2290,open_all_x6,-XX:+UseSerialGC,1,15.5,229.410706,229.123474,0.0,0.143616,0.143616,,486.438,0.064516,0.0
jabref,jabref_open_all_x6_2_238b1382,open_all_x6,-XX:+UseSerialGC,2,14.47,254.031921,254.031921,0.0,0.0,0.0,,476.129,0.069109,0.0
jabref,jabref_open_all_x6_3_9e4c7c0c,open_all_x6,-XX:+UseSerialGC,3,14.17,255.558838,255.558228,0.0,0.000305,0.000305,,461.902,0.070572,0.0
jabref,jabref_open_all_x6_4_4e513243,open_all_x6,-XX:+UseSerialGC,4,14.26,257.732117,257.732117,0.0,0.0,0.0,,473.828,0.070126,0.0
jabref,jabref_open_all_x6_5_f7642b12,open_all_x6,-XX:+UseSerialGC,5,14.13,258.458923,258.454651,0.0,0.002136,0.002136,,481.902,0.070771,0.0
jabref,jabref_open_all_x6_6_f17b2c39,open_all_x6,-XX:+UseSerialGC,6,14.21,256.756531,256.756531,0.0,0.0,0.0,,486.586,0.070373,0.0
jabref,jabref_open_all_x6_7_d6bfdea8,open_all_x6,-XX:+UseSerialGC,7,13.87,257.102234,257.097717,0.0,0.002258,0.002258,,499.934,0.072098,0.0
jabref,jabref_open_all_x6_8_d8c443cb,open_all_x6,-XX:+UseSerialGC,8,14.44,251.645752,251.645752,0.0,0.0,0.0,,476.605,0.069252,0.0
jabref,jabref_open_all_x6_9_a2d6f985,open_all_x6,-XX:+UseSerialGC,9,14.16,255.143066,255.143066,0.0,0.0,0.0,,484.105,0.070621,0.0
jabref,jabref_open_all_x6_10_04368415,open_all_x6,-XX:+UseSerialGC,10,14.19,258.764526,258.758057,0.0,0.003235,0.003235,,478.125,0.070472,0.0
jabref,jabref_open_all_x6_1_b7277113,open_all_x6,-XX:+UseParallelGC,1,15.03,235.084839,235.07666,0.0,0.004089,0.004089,,466.203,0.066534,0.0
jabref,jabref_open_all_x6_2_a4df2a7d,open_all_x6,-XX:+UseParallelGC,2,14.17,255.848511,255.842407,0.0,0.003052,0.003052,,463.637,0.070572,0.0
jabref,jabref_open_all_x6_3_b69167e9,open_all_x6,-XX:+UseParallelGC,3,14.01,256.345398,256.345398,0.0,0.0,0.0,,481.168,0.071378,0.0
jabref,jabref_open_all_x6_4_33ef5e34,open_all_x6,-XX:+UseParallelGC,4,14.25,258.431763,258.431763,0.0,0.0,0.0,,491.773,0.070175,0.0
jabref,jabref_open_all_x6_5_546dfb74,open_all_x6,-XX:+UseParallelGC,5,14.11,256.687256,256.687256,0.0,0.0,0.0,,488.805,0.070872,0.0
jabref,jabref_open_all_x6_6_8c3e4d48,open_all_x6,-XX:+UseParallelGC,6,14.16,258.203735,258.203735,0.0,0.0,0.0,,486.301,0.070621,0.0
jabref,jabref_open_all_x6_7_78638f26,open_all_x6,-XX:+UseParallelGC,7,14.07,256.321655,256.317505,0.0,0.002075,0.002075,,474.016,0.071073,0.0
jabref,jabref_open_all_x6_8_1442c12b,open_all_x6,-XX:+UseParallelGC,8,14.24,259.253296,259.253296,0.0,0.0,0.0,,472.812,0.070225,0.0
jabref,jabref_open_all_x6_9_6b569875,open_all_x6,-XX:+UseParallelGC,9,14.21,258.955688,258.953247,0.0,0.001221,0.001221,,486.707,0.070373,0.0
